Card Name,Rarity,Set Name,Card Type,Pokemon Name,Market Price
Sabrina's Gengar,Rare,Gym Challenge,Pokemon,Gengar,28.26
Dark Marowak,Holo Rare,Team Rocket Returns,Pokemon,Marowak,28.24
Celebi,Promo,WoTC Promo,Pokemon,Celebi,28.21
Hydreigon - SWSH037 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Hydreigon,28.21
Charizard,Uncommon,Generations: Radiant Collection,Pokemon,Charizard,28.20
Palkia & Dialga Legend (Top),Ultra Rare,Triumphant,Pokemon,Dialga,28.18
Rayquaza (26 - Delta Species),Rare,Holon Phantoms,Pokemon,Rayquaza,28.16
Kyogre EX (148 Full Art),Ultra Rare,XY - Primal Clash,Pokemon,Kyogre,28.16
Celesteela - SM131 (Staff Prerelease Promo),Promo,SM Promos,Pokemon,Celesteela,28.00
Dark Arbok (W Stamped Promo),Promo,WoTC Promo,Pokemon,Arbok,28.00
Electrode,Rare,Base Set (Shadowless),Pokemon,Electrode,27.99
Charizard (SM Team Up),Holo Rare,Deck Exclusives,Pokemon,Charizard,27.90
Alph Lithograph,Ultra Rare,Unleashed,Pokemon,Not found,27.88
Dialga G Lv.X,Ultra Rare,Platinum,Pokemon,Dialga,27.86
Feraligatr,Holo Rare,Unseen Forces,Pokemon,Feraligatr,27.85
Luxray - SWSH023 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Luxray,27.84
Mew,Holo Rare,Secret Wonders,Pokemon,Mew,27.77
Wartortle (W Stamped Promo),Promo,WoTC Promo,Pokemon,Wartortle,27.70
Shining Jirachi,Shiny Holo Rare,Shining Legends,Pokemon,Jirachi,27.68
Giovanni (18),Holo Rare,Gym Challenge,Pokemon,Not found,27.64
Charizard EX - XY121 (XY Black Star Promos),Promo,Jumbo Cards,Pokemon,Charizard,27.62
Palkia G Lv.X,Ultra Rare,Platinum,Pokemon,Palkia,27.57
Ivysaur,Uncommon,POP Series 2,Pokemon,Ivysaur,27.55
Eevee,Common,Skyridge,Pokemon,Eevee,27.52
Koga (19),Holo Rare,Gym Challenge,Pokemon,Not found,27.50
Ninetales,Holo Rare,Legendary Collection,Pokemon,Ninetales,27.46
Bulbasaur,Common,Base Set (Shadowless),Pokemon,Bulbasaur,27.40
Landorus EX (144 Full Art),Ultra Rare,Boundaries Crossed,Pokemon,Landorus,27.26
Frosmoth - SWSH007 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Frosmoth,27.21
Mew - 53/108 (League Promo) [4th Place],Promo,League & Championship Cards,Pokemon,Mew,27.19
Flareon,Rare,Skyridge,Pokemon,Flareon,27.18
Pidgeotto,Rare,Base Set (Shadowless),Pokemon,Pidgeotto,27.13
Eevee,Promo,WoTC Promo,Pokemon,Eevee,27.12
Lapras VMAX (Secret),Secret Rare,SWSH01: Sword & Shield Base Set,Pokemon,Lapras,27.11
Steelix,Holo Rare,Neo Genesis,Pokemon,Steelix,27.10
Hitmonlee (7),Holo Rare,Fossil,Pokemon,Hitmonlee,27.03
Pikachu,Promo,Nintendo Promos,Pokemon,Pikachu,26.97
Umbreon (32),Rare,Neo Discovery,Pokemon,Umbreon,26.97
Pikachu (Diamond & Pearl),Promo,Burger King Promos,Pokemon,Pikachu,26.95
Rayquaza (Delta Species),Holo Rare,Delta Species,Pokemon,Rayquaza,26.94
Palkia GX (Secret Rare),Secret Rare,SM - Ultra Prism,Pokemon,Palkia,26.88
Articuno GX,Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Articuno,26.76
Lucario & Melmetal GX (Secret),Secret Rare,SM - Unbroken Bonds,Pokemon,Lucario,26.73
Rayquaza C,Holo Rare,Supreme Victors,Pokemon,Rayquaza,26.71
Pinsir (9),Holo Rare,Jungle,Pokemon,Pinsir,26.70
Brock's Vulpix (W Stamped Promo),Promo,WoTC Promo,Pokemon,Vulpix,26.58
Brock (15),Holo Rare,Gym Heroes,Pokemon,Not found,26.50
Typhlosion,Holo Rare,Nintendo Promos,Pokemon,Typhlosion,26.49
Mewtwo,Holo Rare,Base Set,Pokemon,Mewtwo,26.48
Rapid Strike Urshifu V (Alternate Full Art),Ultra Rare,SWSH05: Battle Styles,Pokemon,Urshifu,26.44
Galarian Perrserker - SWSH008 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Perrserker,26.44
Reshiram (Full Art),Ultra Rare,Legendary Treasures: Radiant Collection,Pokemon,Reshiram,26.42
M Mewtwo EX (159 Full Art),Ultra Rare,XY - BREAKthrough,Pokemon,Mewtwo,26.39
Umbreon (Team Plasma),Holo Rare,Plasma Freeze,Pokemon,Umbreon,26.38
White Kyurem GX (Secret),Secret Rare,Dragon Majesty,Pokemon,Kyurem,26.38
Pidgeot,Promo,Southern Islands,Pokemon,Pidgeot,26.34
Darkrai (Team Plasma),Holo Rare,Black and White Promos,Pokemon,Darkrai,26.33
Steelix (Prime),Ultra Rare,Unleashed,Pokemon,Steelix,26.26
Primal Kyogre EX (Alpha - 149 Full Art),Ultra Rare,XY - Primal Clash,Pokemon,Kyogre,26.16
Pikachu (Base Set),Promo,Pikachu World Collection Promos,Pokemon,Pikachu,26.14
Keldeo EX (142 Full Art),Ultra Rare,Boundaries Crossed,Pokemon,Keldeo,26.14
Delibird,Holo Rare,Neo Revelation,Pokemon,Delibird,26.13
Meowth,Secret Rare,Noble Victories,Pokemon,Meowth,26.11
Rare Candy (105 Secret Rare),Secret Rare,Plasma Blast,Pokemon,Not found,26.10
Torterra Lv.X,Ultra Rare,Diamond and Pearl,Pokemon,Torterra,26.06
Flygon (Staff Prerelease),Holo Rare,Black and White Promos,Pokemon,Flygon,26.00
Latios (Full Art Promo),Promo,XY Promos,Pokemon,Latios,25.96
Hitmonlee,Holo Rare,Legendary Collection,Pokemon,Hitmonlee,25.94
Absol (Prime),Ultra Rare,Triumphant,Pokemon,Absol,25.92
Charmander (Build-A-Bear Workshop Exclusive),Promo,Miscellaneous Cards & Products,Pokemon,Charmander,25.87
Kyurem EX (96 Full Art),Ultra Rare,Next Destinies,Pokemon,Kyurem,25.87
Pikachu,Promo,XY Promos,Pokemon,Pikachu,25.87
Charmeleon,Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Charmeleon,25.86
Lugia Legend (Top),Ultra Rare,HeartGold SoulSilver,Pokemon,Lugia,25.83
Nidoqueen,Rare,Skyridge,Pokemon,Nidoqueen,25.81
Zoroark GX (Secret),Secret Rare,Shining Legends,Pokemon,Zoroark,25.75
Dark Dragonite,Rare,Team Rocket Returns,Pokemon,Dragonite,25.75
Nidoqueen (7),Holo Rare,Jungle,Pokemon,Nidoqueen,25.73
Kyogre ex (37),Holo Rare,Nintendo Promos,Pokemon,Kyogre,25.66
M Garchomp EX - XY168,Promo,XY Promos,Pokemon,Garchomp,25.64
Rillaboom VMAX (Secret),Secret Rare,SWSH02: Rebel Clash,Pokemon,Rillaboom,25.62
Tapu Fini - SM203 (Staff Prerelease Promo),Promo,SM Promos,Pokemon,Tapu Fini,25.57
Chansey,Holo Rare,Base Set,Pokemon,Chansey,25.57
Raichu (14),Holo Rare,Fossil,Pokemon,Raichu,25.53
M Lucario EX (Secret),Secret Rare,XY - Furious Fists,Pokemon,Lucario,25.53
Galarian Perrserker (Secret),Secret Rare,SWSH02: Rebel Clash,Pokemon,Perrserker,25.48
Zygarde - SM48 - Staff Prerelease Promo,Holo Rare,SM Promos,Pokemon,Zygarde,25.45
Blissey (Prime),Ultra Rare,HeartGold SoulSilver,Pokemon,Blissey,25.44
Lugia,Holo Rare,Call of Legends,Pokemon,Lugia,25.43
Steelix,Rare,Skyridge,Pokemon,Steelix,25.42
Amoonguss - SM202 (Staff Prerelease Promo),Promo,SM Promos,Pokemon,Amoonguss,25.39
Dowsing Machine,Rare Ace,Plasma Storm,Pokemon,Not found,25.32
Mew,Holo Rare,Legend Maker,Pokemon,Mew,25.31
Salamence VMAX (Secret),Secret Rare,SWSH03: Darkness Ablaze,Pokemon,Salamence,25.31
Zapdos,Holo Rare,Base Set 2,Pokemon,Zapdos,25.29
Giovanni's Persian,Holo Rare,Gym Challenge,Pokemon,Persian,25.28
Espeon,Holo Rare,Black and White Promos,Pokemon,Espeon,25.26
Cobalion (100 Full Art),Ultra Rare,Noble Victories,Pokemon,Cobalion,25.24
Eevee & Snorlax GX (Full Art),Ultra Rare,SM - Team Up,Pokemon,Eevee,25.19
Leafeon GX (Full Art),Ultra Rare,SM - Ultra Prism,Pokemon,Leafeon,25.16
Mimikyu GX (Full Art),Ultra Rare,SM - Lost Thunder,Pokemon,Mimikyu,25.10
Darkrai Lv.X,Ultra Rare,Great Encounters,Pokemon,Darkrai,25.07
Aerodactyl (1),Holo Rare,Fossil,Pokemon,Aerodactyl,25.01
Luxray - 7/30 (National Championship Promo),Rare,League & Championship Cards,Pokemon,Luxray,25.00
Dragonair - 52/146 (State Championship Promo),Promo,League & Championship Cards,Pokemon,Dragonair,25.00
Dragonite - 5/20 (Dragon Vault),Holo Rare,Blister Exclusives,Pokemon,Dragonite,25.00
Shinx - 43/99 (Cracked Ice Holo),Promo,Blister Exclusives,Pokemon,Shinx,25.00
Machamp - XY13 (Prerelease Promo) [Staff],Promo,XY Promos,Pokemon,Machamp,25.00
Ninetales,Holo Rare,Call of Legends,Pokemon,Ninetales,24.99
Poliwrath,Holo Rare,Base Set,Pokemon,Poliwrath,24.99
Armaldo ex (Non-Holo),Ultra Rare,POP Series 1,Pokemon,Armaldo,24.99
Politoed,Rare,Skyridge,Pokemon,Politoed,24.98
Gliscor Lv.X,Ultra Rare,Legends Awakened,Pokemon,Gliscor,24.98
Clefairy,Holo Rare,Base Set,Pokemon,Clefairy,24.96
Ninetales V (Full Art),Ultra Rare,SWSH02: Rebel Clash,Pokemon,Ninetales,24.94
Clefable (1),Holo Rare,Jungle,Pokemon,Clefable,24.94
Salamence Lv.X,Ultra Rare,Arceus,Pokemon,Salamence,24.88
Dark Persian,Holo Rare,Legendary Collection,Pokemon,Persian,24.85
Golbat,Common,Skyridge,Pokemon,Golbat,24.80
Cinccino - SWSH009 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Cinccino,24.70
Pikachu VMAX,Ultra Rare,SWSH04: Vivid Voltage,Pokemon,Pikachu,24.69
M Gengar EX,Promo,XY Promos,Pokemon,Gengar,24.64
Lapras,Promo,Southern Islands,Pokemon,Lapras,24.62
Seviper,Holo Rare,Sandstorm,Pokemon,Seviper,24.59
Heracross,Holo Rare,Neo Genesis,Pokemon,Heracross,24.58
Mewtwo & Mew GX,Ultra Rare,SM - Unified Minds,Pokemon,Mewtwo,24.55
Ditto (3),Holo Rare,Fossil,Pokemon,Ditto,24.55
Inteleon VMAX (Secret),Secret Rare,SWSH02: Rebel Clash,Pokemon,Inteleon,24.43
Ancient Mew,Promo,Miscellaneous Cards & Products,Pokemon,Mew,24.38
Wigglytuff (16),Holo Rare,Jungle,Pokemon,Wigglytuff,24.38
Ditto (Bulbasaur),Uncommon,Delta Species,Pokemon,Bulbasaur,24.37
Ultra Necrozma GX (Secret),Secret Rare,SM - Forbidden Light,Pokemon,Necrozma,24.35
Vileplume GX (Secret),Secret Rare,SM - Cosmic Eclipse,Pokemon,Vileplume,24.34
Reshiram & Charizard GX,Promo,SM Promos,Pokemon,Charizard,24.34
Mega Lopunny & Jigglypuff GX (Alternate Art),Ultra Rare,SM - Cosmic Eclipse,Pokemon,Jigglypuff,24.33
Persian - SM182 (Prerelease Promo) [Staff],Promo,SM Promos,Pokemon,Persian,24.28
Eternatus VMAX (Secret),Secret Rare,SWSH03: Darkness Ablaze,Pokemon,Eternatus,24.20
Shining Arceus,Shiny Holo Rare,Shining Legends,Pokemon,Arceus,24.16
Tornadus EX (Staff Prerelease),Holo Rare,Black and White Promos,Pokemon,Tornadus,24.15
Blastoise - 13/95 (Cracked Ice Holo),Promo,Miscellaneous Cards & Products,Pokemon,Blastoise,24.14
Marshadow & Machamp GX (Secret),Secret Rare,SM - Unbroken Bonds,Pokemon,Machamp,24.13
Metagross GX (Secret),Secret Rare,SM - Guardians Rising,Pokemon,Metagross,24.13
Arceus Lv.X (96),Ultra Rare,Arceus,Pokemon,Arceus,24.09
Darkrai GX (Secret),Secret Rare,SM - Burning Shadows,Pokemon,Darkrai,24.08
Cleffa,Holo Rare,HGSS Promos,Pokemon,Cleffa,24.00
Solrock,Holo Rare,Sandstorm,Pokemon,Solrock,23.99
Slowpoke & Psyduck GX (Alternate Full Art),Ultra Rare,SM - Unified Minds,Pokemon,Psyduck,23.97
Arceus Lv.X (94),Ultra Rare,Arceus,Pokemon,Arceus,23.90
Giratina (Team Plasma),Holo Rare,Black and White Promos,Pokemon,Giratina,23.80
Kabutops (9),Holo Rare,Fossil,Pokemon,Kabuto,23.78
Wobbuffet (16),Holo Rare,Neo Discovery,Pokemon,Wobbuffet,23.75
Latios GX (Secret),Secret Rare,SM - Unified Minds,Pokemon,Latios,23.74
Magneton,Holo Rare,Neo Revelation,Pokemon,Magneton,23.72
Magnezone (Prime),Ultra Rare,Triumphant,Pokemon,Magnezone,23.70
Dragonite GX (Full Art),Ultra Rare,Dragon Majesty,Pokemon,Dragonite,23.68
Machamp,Holo Rare,Legendary Collection,Pokemon,Machamp,23.66
Xerneas GX (Secret),Secret Rare,SM - Forbidden Light,Pokemon,Xerneas,23.64
Yveltal EX (144 Full Art),Ultra Rare,XY Base Set,Pokemon,Yveltal,23.63
Furret,Uncommon,Aquapolis,Pokemon,Furret,23.62
Lugia,Rare,Neo Revelation,Pokemon,Lugia,23.57
Ampharos GX (Secret),Secret Rare,SM - Team Up,Pokemon,Ampharos,23.56
Victreebel (14),Holo Rare,Jungle,Pokemon,Victreebel,23.54
Typhlosion (Delta Species),Holo Rare,Dragon Frontiers,Pokemon,Typhlosion,23.52
Latios (Cracked Ice Holo),Holo Rare,HGSS Promos,Pokemon,Latios,23.52
Dark Hypno,Holo Rare,Team Rocket Returns,Pokemon,Hypno,23.50
Magikarp,Promo,XY Promos,Pokemon,Magikarp,23.48
Mr. Mime (6),Holo Rare,Jungle,Pokemon,Mr. Mime,23.48
Arceus Lv.X (DP53),Holo Rare,Diamond and Pearl Promos,Pokemon,Arceus,23.43
Erika's Clefable,Holo Rare,Gym Heroes,Pokemon,Clefable,23.39
Toxtricity VMAX (Secret),Secret Rare,SWSH02: Rebel Clash,Pokemon,Toxtricity,23.37
Latios EX (113 Full Art),Ultra Rare,Plasma Freeze,Pokemon,Latios,23.34
Metagross GX - 157a/145,Promo,Alternate Art Promos,Pokemon,Metagross,23.34
Floatzel GL Lv.X,Ultra Rare,Rising Rivals,Pokemon,Floatzel,23.33
Blastoise,Holo Rare,Secret Wonders,Pokemon,Blastoise,23.26
Mimikyu V (Full Art),Ultra Rare,SWSH05: Battle Styles,Pokemon,Mimikyu,23.25
Latios (12 - Delta Species),Holo Rare,Holon Phantoms,Pokemon,Latios,23.21
Electabuzz,Rare,Base Set (Shadowless),Pokemon,Electabuzz,23.17
Ninetales (Call of Legends),Rare,Deck Exclusives,Pokemon,Ninetales,23.16
Dark Machamp (10),Holo Rare,Team Rocket,Pokemon,Machamp,23.15
Dusk Mane Necrozma GX (Secret Rare),Secret Rare,SM - Ultra Prism,Pokemon,Necrozma,23.09
Sceptile GX (Secret),Secret Rare,SM - Lost Thunder,Pokemon,Sceptile,23.06
Marowak (Delta Species),Holo Rare,Delta Species,Pokemon,Marowak,23.04
Togetic,Holo Rare,Neo Genesis,Pokemon,Togetic,23.03
M Sceptile EX (85 Full Art),Ultra Rare,XY - Ancient Origins,Pokemon,Sceptile,23.02
Espeon,Holo Rare,Call of Legends,Pokemon,Espeon,23.01
Mewtwo,Rare,Legendary Collection,Pokemon,Mewtwo,22.94
Beedrill,Rare,Base Set (Shadowless),Pokemon,Beedrill,22.87
Cleffa,Rare,Neo Genesis,Pokemon,Cleffa,22.82
Scyther,Holo Rare,Base Set 2,Pokemon,Scyther,22.78
Raikou,Holo Rare,HGSS Promos,Pokemon,Raikou,22.76
Single Strike Urshifu V (Alternate Full Art),Ultra Rare,SWSH05: Battle Styles,Pokemon,Urshifu,22.72
Wartortle,Uncommon,Base Set (Shadowless),Pokemon,Wartortle,22.70
Charmander,Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Charmander,22.70
Tornadus EX (108 Full Art),Ultra Rare,Dark Explorers,Pokemon,Tornadus,22.67
Arceus & Dialga & Palkia GX (Full Art),Ultra Rare,SM - Cosmic Eclipse,Pokemon,Dialga,22.62
Greninja GX (Full Art),Ultra Rare,SM - Forbidden Light,Pokemon,Greninja,22.58
Thundurus EX (Team Plasma) (110 Full Art),Ultra Rare,Plasma Freeze,Pokemon,Thundurus,22.57
Shaymin Lv.X,Holo Rare,Diamond and Pearl Promos,Pokemon,Shaymin,22.55
Mew EX,Ultra Rare,Dragons Exalted,Pokemon,Mew,22.53
Zygarde GX - SM122 (SM Black Star Promo),Promo,Jumbo Cards,Pokemon,Zygarde,22.50
Latias (Full Art Promo),Promo,XY Promos,Pokemon,Latias,22.49
Magneton,Holo Rare,Base Set,Pokemon,Magneton,22.47
Vulpix (Build-A-Bear Workshop Exclusive),Promo,Miscellaneous Cards & Products,Pokemon,Vulpix,22.46
Virizion EX (Full Art),Ultra Rare,Plasma Blast,Pokemon,Virizion,22.44
M Gengar EX,Ultra Rare,XY - Phantom Forces,Pokemon,Gengar,22.43
Victini VMAX (Secret),Secret Rare,SWSH05: Battle Styles,Pokemon,Victini,22.42
Pikachu - SM86 (General Mills Promo),Promo,Miscellaneous Cards & Products,Pokemon,Pikachu,22.41
M Gyarados EX (Full Art),Ultra Rare,XY - BREAKpoint,Pokemon,Gyarados,22.40
M Charizard EX,Ultra Rare,XY - Evolutions,Pokemon,Charizard,22.40
Torkoal,Holo Rare,Dragon,Pokemon,Torkoal,22.39
Altaria,Holo Rare,Dragon,Pokemon,Altaria,22.37
Ho-Oh,Holo Rare,Call of Legends,Pokemon,Ho-Oh,22.36
Treecko (3),Promo,Nintendo Promos,Pokemon,Treecko,22.33
Dragonite (Cosmos Holo),Promo,Blister Exclusives,Pokemon,Dragonite,22.29
Dragonite (43),Rare,Expedition,Pokemon,Dragonite,22.26
Pikachu,Promo,McDonald's Promos 2019,Pokemon,Pikachu,22.25
Venusaur,Holo Rare,Secret Wonders,Pokemon,Venusaur,22.25
Marill,Promo,Southern Islands,Pokemon,Marill,22.25
Tyranitar,Rare,Aquapolis,Pokemon,Tyranitar,22.24
Lt. Surge's Electabuzz (6),Holo Rare,Gym Heroes,Pokemon,Electabuzz,22.22
Yveltal EX - XY150a,Promo,Alternate Art Promos,Pokemon,Yveltal,22.15
M Rayquaza EX (61),Ultra Rare,XY - Roaring Skies,Pokemon,Rayquaza,22.12
Giratina EX (93 Full Art),Ultra Rare,XY - Ancient Origins,Pokemon,Giratina,22.10
Decidueye GX (Secret),Secret Rare,SM - Guardians Rising,Pokemon,Decidueye,22.07
Nidoqueen,Holo Rare,Base Set 2,Pokemon,Nidoqueen,22.03
Primal Groudon EX - 97/98 (Ancient Origins),Promo,Jumbo Cards,Pokemon,Groudon,22.00
Dragonite,Holo Rare,Legends Awakened,Pokemon,Dragonite,22.00
Rayquaza GX - 177a (Celestial Storm Promo),Promo,Jumbo Cards,Pokemon,Rayquaza,21.98
Smeargle (11),Holo Rare,Neo Discovery,Pokemon,Smeargle,21.97
Oranguru (Secret),Secret Rare,SWSH04: Vivid Voltage,Pokemon,Oranguru,21.96
Light Jolteon,Uncommon,Neo Destiny,Pokemon,Jolteon,21.93
Shaymin Lv.X (Land Forme),Ultra Rare,Platinum,Pokemon,Shaymin,21.89
Dedenne GX (Secret),Secret Rare,SM - Unbroken Bonds,Pokemon,Dedenne,21.87
Dragonite (Cosmo Holo),Rare,XY Promos,Pokemon,Dragonite,21.84
Lt. Surge (17),Holo Rare,Gym Heroes,Pokemon,Not found,21.81
Onix,Promo,Southern Islands,Pokemon,Onix,21.80
Alakazam EX (Secret),Secret Rare,XY - Fates Collide,Pokemon,Alakazam,21.79
Metagross (Delta Species),Holo Rare,Delta Species,Pokemon,Metagross,21.75
Hypno (8),Holo Rare,Fossil,Pokemon,Hypno,21.75
Octillery (Secret),Secret Rare,SWSH05: Battle Styles,Pokemon,Octillery,21.72
Swampert,Holo Rare,Emerald,Pokemon,Swampert,21.70
Shiftry (12),Holo Rare,Sandstorm,Pokemon,Shiftry,21.66
Gyarados,Holo Rare,Base Set 2,Pokemon,Gyarados,21.63
Golem,Holo Rare,Dragon,Pokemon,Golem,21.62
Electivire FB Lv.X,Ultra Rare,Supreme Victors,Pokemon,Electivire,21.57
Groudon EX,Ultra Rare,Dark Explorers,Pokemon,Groudon,21.55
Arctozolt - SWSH036 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Arctozolt,21.50
Dusclops,Holo Rare,Sandstorm,Pokemon,Dusclops,21.49
M Mewtwo EX (160 Full Art),Ultra Rare,XY - BREAKthrough,Pokemon,Mewtwo,21.49
Crobat (6),Rare,Skyridge,Pokemon,Crobat,21.49
Heatran Lv.X,Holo Rare,Diamond and Pearl Promos,Pokemon,Heatran,21.48
Dragonite GX (Full Art),Ultra Rare,SM - Unified Minds,Pokemon,Dragonite,21.45
Sylveon (XY Furious Fists),Holo Rare,Deck Exclusives,Pokemon,Sylveon,21.37
Snorlax,Holo Rare,FireRed & LeafGreen,Pokemon,Snorlax,21.33
Mudsdale - SM20 - Staff Prerelease Promo,Promo,SM Promos,Pokemon,Mudsdale,21.32
Latias & Latios GX (Full Art),Ultra Rare,SM - Team Up,Pokemon,Latias,21.25
Blastoise & Piplup GX (Full Art),Ultra Rare,SM - Cosmic Eclipse,Pokemon,Blastoise,21.24
Charizard GX - SM60 (SM Black Star Promos),Promo,Jumbo Cards,Pokemon,Charizard,21.22
Slowbro,Rare,Aquapolis,Pokemon,Slowbro,21.21
Blastoise VMAX - SWSH103,Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Blastoise,21.13
Dragonite EX (108 Full Art),Ultra Rare,XY - Furious Fists,Pokemon,Dragonite,21.12
Seviper - SM46 - Staff Prerelease Promo,Uncommon,SM Promos,Pokemon,Seviper,21.11
Dugtrio,Rare,Base Set (Shadowless),Pokemon,Dugtrio,21.10
Crobat (Team Plasma - Prerelease),Holo Rare,Black and White Promos,Pokemon,Crobat,21.08
Misty's Psyduck (W Stamped Promo),Promo,WoTC Promo,Pokemon,Psyduck,21.08
Alph Lithograph,Ultra Rare,Triumphant,Pokemon,Not found,21.02
Armaldo ex (Holo),Ultra Rare,POP Series 1,Pokemon,Armaldo,21.00
Incineroar GX (Secret),Secret Rare,SM - Guardians Rising,Pokemon,Incineroar,21.00
Victini - 43/101 (Prerelease Promo),Promo,Black and White Promos,Pokemon,Victini,20.99
Raikou EX,Ultra Rare,Dark Explorers,Pokemon,Raikou,20.99
Gyarados,Holo Rare,Base Set,Pokemon,Gyarados,20.97
Tyranitar GX (Full Art),Ultra Rare,SM - Lost Thunder,Pokemon,Tyranitar,20.94
Suicune GX (Full Art),Ultra Rare,SM - Lost Thunder,Pokemon,Suicune,20.94
Pichu,Promo,WoTC Promo,Pokemon,Pichu,20.89
Tapu Bulu GX,Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Tapu Bulu,20.84
Professor Elm,Promo,Best of Promos,Pokemon,Not found,20.84
Flareon,Holo Rare,Black and White Promos,Pokemon,Flareon,20.80
Gabite (Staff Prerelease Promo),Promo,Diamond and Pearl Promos,Pokemon,Gabite,20.80
Umbreon,Holo Rare,Undaunted,Pokemon,Umbreon,20.76
Latias (Delta Species),Holo Rare,Delta Species,Pokemon,Latias,20.68
Torchic (8),Promo,Nintendo Promos,Pokemon,Torchic,20.67
Solgaleo GX (Secret),Secret Rare,SM Base Set,Pokemon,Solgaleo,20.62
Victini (98 Full Art),Ultra Rare,Noble Victories,Pokemon,Victini,20.62
Scizor VMAX (Secret),Secret Rare,SWSH03: Darkness Ablaze,Pokemon,Scizor,20.61
Raichu (Delta Species),Holo Rare,Holon Phantoms,Pokemon,Raichu,20.61
Rowlet & Alolan Exeggutor GX (Alternate Full Art),Ultra Rare,SM - Unified Minds,Pokemon,Exeggutor,20.58
Glaceon GX (Full Art),Ultra Rare,SM - Ultra Prism,Pokemon,Glaceon,20.58
Snorlax,Common,Kalos Starter Set,Pokemon,Snorlax,20.53
Farfetch'd,Common,Skyridge,Pokemon,Farfetch'd,20.52
Koga's Beedrill,Holo Rare,Gym Challenge,Pokemon,Beedrill,20.51
Togekiss VMAX (Secret),Secret Rare,SWSH04: Vivid Voltage,Pokemon,Togekiss,20.50
Mewtwo,Holo Rare,Majestic Dawn,Pokemon,Mewtwo,20.49
Meowth,Common,Skyridge,Pokemon,Meowth,20.48
Terrakion (99 Full Art),Ultra Rare,Noble Victories,Pokemon,Terrakion,20.48
Electrode (2),Holo Rare,Jungle,Pokemon,Electrode,20.46
Altaria - XY46 (Prerelease Promo) [Staff],Promo,XY Promos,Pokemon,Altaria,20.43
Rayquaza (Dragon Vault),Promo,Blister Exclusives,Pokemon,Rayquaza,20.43
Max Potion (121 Secret Rare),Secret Rare,Plasma Freeze,Pokemon,Not found,20.41
Dragonite EX (Full Art),Ultra Rare,XY - Evolutions,Pokemon,Dragonite,20.40
Espeon (HGSS Undaunted - Cracked Ice Holo),Holo Rare,Deck Exclusives,Pokemon,Espeon,20.39
Pidgeot,Holo Rare,Base Set 2,Pokemon,Pidgeot,20.36
Ivysaur,Promo,Southern Islands,Pokemon,Ivysaur,20.33
Dark Magneton (11),Holo Rare,Team Rocket,Pokemon,Magneton,20.32
Pikachu EX - XY84,Promo,XY Promos,Pokemon,Pikachu,20.30
Gardevoir (Delta Species),Holo Rare,Delta Species,Pokemon,Gardevoir,20.30
Ampharos,Holo Rare,Neo Genesis,Pokemon,Ampharos,20.22
Xerneas EX (146 Full Art),Ultra Rare,XY Base Set,Pokemon,Xerneas,20.22
Dark Blastoise (20),Rare,Team Rocket,Pokemon,Blastoise,20.22
Pikachu,Uncommon,Legendary Treasures: Radiant Collection,Pokemon,Pikachu,20.19
Zoroark GX - 77a/73,Promo,Alternate Art Promos,Pokemon,Zoroark,20.15
Ivysaur,Uncommon,Base Set (Shadowless),Pokemon,Ivysaur,20.08
Dark Slowbro (12),Holo Rare,Team Rocket,Pokemon,Slowbro,20.04
Marshadow & Machamp GX (199) (Full Art),Ultra Rare,SM - Unbroken Bonds,Pokemon,Machamp,20.04
Terrakion - SM205 (Staff Prerelease Promo),Promo,SM Promos,Pokemon,Terrakion,20.02
M Mewtwo EX - 63/162 BREAKthrough,Promo,Jumbo Cards,Pokemon,Mewtwo,20.00
Victini - 43/101 (Prerelease Promo) [Staff],Promo,Black and White Promos,Pokemon,Victini,20.00
"Reshiram, Zekrom & Kyurem (Legends of Unova Promo)",Promo,Jumbo Cards,Pokemon,Reshiram,20.00
Pikachu (Spanish),Promo,Pikachu World Collection Promos,Pokemon,Pikachu,20.00
Typhlosion,Holo Rare,Unseen Forces,Pokemon,Typhlosion,20.00
M Charizard EX - 69/106 (Flashfire - Form X),Promo,Jumbo Cards,Pokemon,Charizard,20.00
Heatran,Promo,Rumble,Pokemon,Heatran,20.00
Dragonite - 2/146 (National Championship),Promo,League & Championship Cards,Pokemon,Dragonite,20.00
Pidgey (#29),Common,XY Trainer Kit: Bisharp & Wigglytuff,Pokemon,Pidgey,19.99
Pikachu,Holo Rare,Diamond and Pearl Promos,Pokemon,Pikachu,19.99
Torchic (City Championship Promo) [Staff],Promo,League & Championship Cards,Pokemon,Torchic,19.99
